,Element,Wavelength,n,k
1955,Be,7.7373,4.7254,31.74
1956,Be,7.955,4.9091,32.627
1957,Be,8.1788,5.1034,33.535
1958,Be,8.4089,5.3087,34.465
1959,Be,8.6455,5.5256,35.418
1960,Be,8.8887,5.7546,36.395
1961,Be,9.1388,5.9964,37.394
1962,Be,9.3959,6.2515,38.418
1963,Be,9.6603,6.5205,39.466
1964,Be,9.9321,6.8041,40.539
1965,Be,10.212,7.1029,41.636
1966,Be,10.499,7.4177,42.759
1967,Be,10.794,7.7492,43.908
1968,Be,11.098,8.098,45.083
1969,Be,11.41,8.4651,46.283
1970,Be,11.731,8.851,47.511
1971,Be,12.061,9.2568,48.765
1972,Be,12.401,9.6831,50.046
1973,Be,12.749,10.131,51.355
1974,Be,13.108,10.601,52.69
1975,Be,13.477,11.094,54.053
1976,Be,13.856,11.611,55.444
1977,Be,14.246,12.154,56.862
1978,Be,14.647,12.722,58.308
1979,Be,15.059,13.317,59.782
1980,Be,15.482,13.94,61.283
1981,Be,15.918,14.592,62.812
1982,Be,16.366,15.274,64.368
1983,Be,16.826,15.986,65.952
1984,Be,17.3,16.73,67.562
1985,Be,17.786,17.506,69.199
1986,Be,18.287,18.316,70.863
1987,Be,18.801,19.161,72.552
1988,Be,19.33,20.041,74.267
1989,Be,19.874,20.957,76.007
1990,Be,20.433,21.91,77.772
1991,Be,21.008,22.902,79.561
1992,Be,21.599,23.932,81.373
1993,Be,22.207,25.001,83.208
1994,Be,22.832,26.111,85.066
1995,Be,23.474,27.261,86.944
1996,Be,24.134,28.454,88.844
1997,Be,24.813,29.688,90.763
1998,Be,25.512,30.965,92.701
1999,Be,26.229,32.284,94.658
2000,Be,26.967,33.648,96.631
2001,Be,27.726,35.054,98.622
2002,Be,28.506,36.505,100.63
2003,Be,30.133,39.54,104.68
2004,Be,30.98,41.123,106.73
2005,Be,31.852,42.751,108.79
2006,Be,32.748,44.423,110.86
2007,Be,33.67,46.139,112.94
2008,Be,34.617,47.899,115.03
2009,Be,35.591,49.702,117.13
2010,Be,36.592,51.548,119.24
2011,Be,37.622,53.437,121.36
2012,Be,38.68,55.369,123.48
2013,Be,39.768,57.342,125.61
2014,Be,40.887,59.356,127.75
2015,Be,42.038,61.411,129.89
2016,Be,43.22,63.506,132.04
2017,Be,44.436,65.641,134.19
2018,Be,45.686,67.814,136.35
2019,Be,46.972,70.025,138.51
2020,Be,48.293,72.273,140.68
2021,Be,49.652,74.558,142.85
2022,Be,51.049,76.879,145.03
2023,Be,52.485,79.235,147.21
2024,Be,53.962,81.626,149.39
2025,Be,55.48,84.05,151.59
2026,Be,57.041,86.508,153.78
2027,Be,58.646,88.998,155.99
2028,Be,60.296,91.521,158.2
2029,Be,61.992,94.075,160.42
2030,Cu,0.1879,0.94,1.337
2031,Cu,0.1916,0.95,1.388
2032,Cu,0.1953,0.97,1.44
2033,Cu,0.1993,0.98,1.493
2034,Cu,0.2033,0.99,1.55
2035,Cu,0.2073,1.01,1.599
2036,Cu,0.2119,1.04,1.651
2037,Cu,0.2164,1.08,1.699
2038,Cu,0.2214,1.13,1.737
2039,Cu,0.2262,1.18,1.768
2040,Cu,0.2313,1.23,1.792
2041,Cu,0.2371,1.28,1.802
2042,Cu,0.2426,1.34,1.799
2043,Cu,0.249,1.37,1.783
2044,Cu,0.2551,1.41,1.741
2045,Cu,0.2616,1.41,1.691
2046,Cu,0.2689,1.45,1.668
2047,Cu,0.2761,1.46,1.646
2048,Cu,0.2844,1.45,1.633
2049,Cu,0.2924,1.42,1.633
2050,Cu,0.3009,1.4,1.679
2051,Cu,0.3107,1.38,1.729
2052,Cu,0.3204,1.38,1.783
2053,Cu,0.3315,1.34,1.821
2054,Cu,0.3425,1.36,1.864
2055,Cu,0.3542,1.37,1.916
2056,Cu,0.3679,1.36,1.975
2057,Cu,0.3815,1.33,2.045
2058,Cu,0.3974,1.32,2.116
2059,Cu,0.4133,1.28,2.207
2060,Cu,0.4305,1.25,2.305
2061,Cu,0.4509,1.24,2.397
2062,Cu,0.4714,1.25,2.483
2063,Cu,0.4959,1.22,2.564
2064,Cu,0.5209,1.18,2.608
2065,Cu,0.5486,1.02,2.577
2066,Cu,0.5821,0.7,2.704
2067,Cu,0.6168,0.3,3.205
2068,Cu,0.6595,0.22,3.747
2069,Cu,0.7045,0.21,4.205
2070,Cu,0.756,0.24,4.665
2071,Cu,0.8211,0.26,5.18
2072,Cu,0.892,0.3,5.768
2073,Cu,0.984,0.32,6.421
2074,Cu,1.088,0.36,7.217
2075,Cu,1.216,0.48,8.245
2076,Cu,1.393,0.6,9.439
2077,Cu,1.61,0.76,11.12
2078,Cu,1.937,1.09,13.43
2079,Cu2,0.2066,1.02,1.597
2080,Cu2,0.2101,1.054,1.656
2081,Cu2,0.2138,1.09,1.697
2082,Cu2,0.2175,1.133,1.739
2083,Cu2,0.2214,1.181,1.77
2084,Cu2,0.2254,1.228,1.8
2085,Cu2,0.2296,1.276,1.822
2086,Cu2,0.2339,1.329,1.843
2087,Cu2,0.2384,1.388,1.851
2088,Cu2,0.2431,1.439,1.844
2089,Cu2,0.248,1.489,1.84
2090,Cu2,0.253,1.546,1.814
2091,Cu2,0.2583,1.573,1.77
2092,Cu2,0.2638,1.58,1.734
2093,Cu2,0.2695,1.577,1.705
2094,Cu2,0.2755,1.564,1.678
2095,Cu2,0.2818,1.54,1.662
2096,Cu2,0.2883,1.507,1.652
2097,Cu2,0.2952,1.458,1.66
2098,Cu2,0.3024,1.422,1.698
2099,Cu2,0.31,1.404,1.735
2100,Cu2,0.3179,1.387,1.773
2101,Cu2,0.3263,1.375,1.814
2102,Cu2,0.3351,1.377,1.851
2103,Cu2,0.3444,1.369,1.874
2104,Cu2,0.3542,1.349,1.905
2105,Cu2,0.3647,1.324,1.937
2106,Cu2,0.3757,1.292,1.985
2107,Cu2,0.3875,1.276,2.037
2108,Cu2,0.3999,1.239,2.078
2109,Cu2,0.4133,1.198,2.158
2110,Cu2,0.4275,1.186,2.238
2111,Cu2,0.4428,1.168,2.299
2112,Cu2,0.4592,1.147,2.372
2113,Cu2,0.4769,1.131,2.445
2114,Cu2,0.4959,1.121,2.485
2115,Cu2,0.5166,1.089,2.501
2116,Cu2,0.5391,0.9717,2.413
2117,Cu2,0.5636,0.5166,2.41
2118,Cu2,0.5904,0.1268,2.918
2119,Cu2,0.6199,0.09461,3.382
2120,Cu2,0.6525,0.0878,3.759
2121,Cu2,0.6888,0.07277,4.123
2122,Cu2,0.7293,0.06434,4.507
2123,Cu2,0.7749,0.06,4.917
2124,Cu2,0.8266,0.06248,5.361
2125,Cu2,0.8856,0.06666,5.85
2126,Cu2,0.9537,0.07343,6.4
2127,Cu2,1.033,0.08395,7.028
2128,Cu2,1.127,0.09798,7.757
2129,Cu2,1.24,0.1189,8.619
2130,Cu2,1.305,0.1317,9.114
2131,Cu2,1.378,0.1465,9.66
2132,Cu2,1.459,0.1646,10.27
2133,Cu2,1.55,0.1863,10.95
2134,Cu2,1.653,0.2125,11.72
2135,Cu2,1.771,0.2439,12.59
2136,Cu2,1.907,0.2836,13.59
2137,Cu2,2.066,0.3333,14.76
2138,Cu2,2.254,0.3975,16.14
2139,Cu2,2.48,0.4814,17.78
2140,Cu2,2.755,0.5934,19.78
2141,Cu2,3.1,0.7493,22.28
2142,Cu2,3.542,0.9782,25.48
2143,Cu2,4.133,1.334,29.73
2144,Cu2,4.959,1.924,35.62
2145,Cu2,6.199,2.973,44.34
2146,Cu2,8.266,5.134,58.62
2147,Cu2,12.4,11.18,85.47
2148,Cu2O,2.5,2.262,0.025
2149,Cu2O,2.5063,2.267,0.026
2150,Cu2O,2.5126,2.268,0.026
2151,Cu2O,2.5189,2.268,0.026
2152,Cu2O,2.5253,2.268,0.027
2153,Cu2O,2.5316,2.268,0.027
2154,Cu2O,2.5381,2.269,0.028
2155,Cu2O,2.5445,2.27,0.028
2156,Cu2O,2.551,2.27,0.028
2157,Cu2O,2.5575,2.27,0.029
2158,Cu2O,2.5641,2.27,0.029
2159,Cu2O,2.5707,2.271,0.029
2160,Cu2O,2.5773,2.271,0.029
2161,Cu2O,2.584,2.272,0.029
2162,Cu2O,2.5907,2.272,0.03
2163,Cu2O,2.5974,2.272,0.03
2164,Cu2O,2.6042,2.273,0.031
2165,Cu2O,2.611,2.273,0.031
2166,Cu2O,2.6178,2.274,0.031
2167,Cu2O,2.6247,2.274,0.03
2168,Cu2O,2.6316,2.274,0.031
2169,Cu2O,2.6385,2.274,0.031
2170,Cu2O,2.6455,2.274,0.031
2171,Cu2O,2.6525,2.274,0.031
2172,Cu2O,2.6596,2.274,0.032
2173,Cu2O,2.6667,2.275,0.033
2174,Cu2O,2.6738,2.276,0.033
2175,Cu2O,2.681,2.277,0.033
2176,Cu2O,2.6882,2.277,0.032
2177,Cu2O,2.6954,2.277,0.032
2178,Cu2O,2.7027,2.277,0.032
2179,Cu2O,2.71,2.277,0.033
2180,Cu2O,2.7174,2.277,0.033
2181,Cu2O,2.7248,2.278,0.033
2182,Cu2O,2.7322,2.278,0.032
2183,Cu2O,2.7397,2.278,0.033
2184,Cu2O,2.7473,2.278,0.033
2185,Cu2O,2.7548,2.278,0.032
2186,Cu2O,2.7624,2.278,0.033
2187,Cu2O,2.7701,2.278,0.033
2188,Cu2O,2.7778,2.278,0.033
2189,Cu2O,2.7855,2.278,0.033
2190,Cu2O,2.7933,2.278,0.033
2191,Cu2O,2.8011,2.277,0.034
2192,Cu2O,2.809,2.277,0.034
2193,Cu2O,2.8169,2.277,0.035
2194,Cu2O,2.8249,2.277,0.035
2195,Cu2O,2.8329,2.277,0.036
2196,Cu2O,2.8409,2.278,0.036
2197,Cu2O,2.849,2.278,0.037
2198,Cu2O,2.8571,2.278,0.037
2199,Cu2O,2.8653,2.278,0.038
2200,Cu2O,2.8736,2.279,0.038
2201,Cu2O,2.8818,2.279,0.039
2202,Cu2O,2.8902,2.28,0.039
2203,Cu2O,2.8986,2.28,0.039
2204,Cu2O,2.907,2.28,0.039
2205,Cu2O,2.9155,2.28,0.04
2206,Cu2O,2.924,2.281,0.04
2207,Cu2O,2.9326,2.281,0.04
2208,Cu2O,2.9412,2.281,0.04
2209,Cu2O,2.9499,2.281,0.04
2210,Cu2O,2.9586,2.281,0.041
2211,Cu2O,2.9674,2.282,0.042
2212,Cu2O,2.9762,2.283,0.042
2213,Cu2O,2.9851,2.284,0.042
2214,Cu2O,2.994,2.284,0.042
2215,Cu2O,3.003,2.284,0.042
2216,Cu2O,3.012,2.284,0.042
2217,Cu2O,3.0211,2.285,0.043
2218,Cu2O,3.0303,2.285,0.043
2219,Cu2O,3.0395,2.286,0.043
2220,Cu2O,3.0488,2.286,0.043
2221,Cu2O,3.0581,2.286,0.043
2222,Cu2O,3.0675,2.286,0.043
2223,Cu2O,3.0769,2.286,0.044
2224,Cu2O,3.0864,2.287,0.044
2225,Cu2O,3.096,2.288,0.044
2226,Cu2O,3.1056,2.288,0.044
2227,Cu2O,3.1153,2.288,0.045
2228,Cu2O,3.125,2.288,0.045
2229,Cu2O,3.1348,2.289,0.045
2230,Cu2O,3.1447,2.289,0.045
2231,Cu2O,3.1546,2.29,0.045
2232,Cu2O,3.1646,2.29,0.045
2233,Cu2O,3.1746,2.291,0.046
2234,Cu2O,3.1847,2.292,0.045
2235,Cu2O,3.1949,2.292,0.045
2236,Cu2O,3.2051,2.292,0.045
2237,Cu2O,3.2154,2.292,0.045
2238,Cu2O,3.2258,2.292,0.045
2239,Cu2O,3.2362,2.293,0.045
2240,Cu2O,3.268,2.294,0.046
2241,Cu2O,3.268,2.294,0.046
2242,Cu2O,3.268,2.293,0.046
2243,Cu2O,3.268,2.293,0.046
2244,Cu2O,3.2787,2.295,0.046
2245,Cu2O,3.2895,2.295,0.046
2246,Cu2O,3.3003,2.296,0.046
2247,Cu2O,3.3113,2.296,0.046
2248,Cu2O,3.3223,2.297,0.045
2249,Cu2O,3.3223,2.297,0.046
2250,Cu2O,3.3223,2.293,0.045
2251,Cu2O,3.3223,2.293,0.046
2252,Cu2O,3.3333,2.297,0.045
2253,Cu2O,3.3445,2.297,0.045
2254,Cu2O,3.3557,2.297,0.045
2255,Cu2O,3.367,2.297,0.044
2256,Cu2O,3.3784,2.297,0.045
2257,Cu2O,3.3898,2.297,0.045
2258,Cu2O,3.4014,2.297,0.045
2259,Cu2O,3.413,2.298,0.045
2260,Cu2O,3.4247,2.298,0.045
2261,Cu2O,3.4364,2.298,0.045
2262,Cu2O,3.4483,2.298,0.045
2263,Cu2O,3.4602,2.298,0.046
2264,Cu2O,3.4722,2.299,0.046
2265,Cu2O,3.4843,2.299,0.046
2266,Cu2O,3.4965,2.3,0.046
2267,Cu2O,3.5088,2.3,0.046
2268,Cu2O,3.5211,2.3,0.046
2269,Cu2O,3.5336,2.301,0.046
2270,Cu2O,3.5461,2.301,0.045
2271,Cu2O,3.5587,2.301,0.045
2272,Cu2O,3.5714,2.301,0.045
2273,Cu2O,3.5842,2.302,0.045
2274,Cu2O,3.5971,2.302,0.045
2275,Cu2O,3.6101,2.302,0.045
2276,Cu2O,3.6232,2.302,0.045
2277,Cu2O,3.6364,2.302,0.045
2278,Cu2O,3.6496,2.302,0.045
2279,Cu2O,3.663,2.303,0.045
2280,Cu2O,3.6765,2.303,0.045
2281,Cu2O,3.69,2.303,0.045
2282,Cu2O,3.7037,2.304,0.045
2283,Cu2O,3.7175,2.304,0.045
2284,Cu2O,3.7313,2.304,0.045
2285,Cu2O,3.7453,2.305,0.043
2286,Cu2O,3.7594,2.305,0.045
2287,Cu2O,3.7736,2.305,0.044
2288,Cu2O,3.7879,2.305,0.044
2289,Cu2O,3.8023,2.305,0.044
2290,Cu2O,3.8168,2.306,0.044
2291,Cu2O,3.8314,2.306,0.044
2292,Cu2O,3.8462,2.306,0.044
2293,Cu2O,3.861,2.306,0.044
2294,Cu2O,3.876,2.306,0.044
2295,Cu2O,3.8911,2.306,0.043
2296,Cu2O,3.9063,2.306,0.043
2297,Cu2O,3.9216,2.306,0.043
2298,Cu2O,3.937,2.307,0.043
2299,Cu2O,3.9526,2.307,0.043
2300,Cu2O,3.9683,2.307,0.043
2301,Cu2O,3.9841,2.307,0.043
2302,Cu2O,4.0,2.307,0.043
2303,Cu2O,4.0161,2.307,0.043
2304,Cu2O,4.0323,2.307,0.043
2305,Cu2O,4.0486,2.307,0.043
2306,Cu2O,4.065,2.307,0.044
2307,Cu2O,4.0816,2.308,0.044
2308,Cu2O,4.0984,2.308,0.043
2309,Cu2O,4.1152,2.308,0.043
2310,Cu2O,4.1322,2.308,0.043
2311,Cu2O,4.1494,2.308,0.043
2312,Cu2O,4.1667,2.309,0.043
2313,Cu2O,4.1841,2.308,0.042
2314,Cu2O,4.2017,2.308,0.043
2315,Cu2O,4.2194,2.308,0.043
2316,Cu2O,4.2373,2.308,0.043
2317,Cu2O,4.2553,2.308,0.043
2318,Cu2O,4.2735,2.309,0.043
2319,Cu2O,4.2918,2.309,0.043
2320,Cu2O,4.3103,2.309,0.043
2321,Cu2O,4.329,2.309,0.043
2322,Cu2O,4.3478,2.309,0.043
2323,Cu2O,4.3668,2.309,0.042
2324,Cu2O,4.386,2.309,0.042
2325,Cu2O,4.4053,2.309,0.043
2326,Cu2O,4.4248,2.31,0.043
2327,Cu2O,4.4444,2.31,0.043
2328,Cu2O,4.4643,2.31,0.042
2329,Cu2O,4.4843,2.31,0.042
2330,Cu2O,4.5045,2.31,0.042
2331,Cu2O,4.5249,2.309,0.042
2332,Cu2O,4.5455,2.31,0.042
2333,Cu2O,4.5662,2.31,0.042
2334,Cu2O,4.5872,2.31,0.042
2335,Cu2O,4.6083,2.31,0.042
2336,Cu2O,4.6296,2.309,0.042
2337,Cu2O,4.6512,2.31,0.043
2338,Cu2O,4.6729,2.31,0.043
2339,Cu2O,4.6948,2.31,0.043
2340,Cu2O,4.717,2.31,0.042
2341,Cu2O,4.7393,2.31,0.042
2342,Cu2O,4.7619,2.31,0.043
2343,Cu2O,4.7847,2.31,0.043
2344,Cu2O,4.8077,2.311,0.043
2345,Cu2O,4.8309,2.311,0.043
2346,Cu2O,4.8544,2.311,0.043
2347,Cu2O,4.878,2.31,0.042
2348,Cu2O,4.902,2.31,0.043
2349,Cu2O,4.9261,2.31,0.043
2350,Cu2O,4.9505,2.311,0.043
2351,Cu2O,4.9751,2.31,0.043
2352,Cu2O,5.0,2.31,0.044
2353,Cu2O,5.0251,2.311,0.045
2354,Cu2O,5.0505,2.312,0.045
2355,Cu2O,5.0761,2.313,0.044
2356,Cu2O,5.102,2.313,0.044
2357,Cu2O,5.1282,2.313,0.044
2358,Cu2O,5.1546,2.313,0.044
2359,Cu2O,5.1813,2.314,0.044
2360,Cu2O,5.2083,2.314,0.044
2361,Cu2O,5.2356,2.314,0.043
2362,Cu2O,5.2632,2.314,0.043
2363,Cu2O,5.291,2.314,0.044
2364,Cu2O,5.3191,2.315,0.043
2365,Cu2O,5.3476,2.315,0.043
2366,Cu2O,5.3763,2.313,0.043
2367,Cu2O,5.4054,2.315,0.042
2368,Cu2O,5.4348,2.315,0.042
2369,Cu2O,5.4645,2.315,0.042
2370,Cu2O,5.4945,2.315,0.042
2371,Cu2O,5.5249,2.315,0.042
2372,Cu2O,5.5556,2.315,0.041
2373,Cu2O,5.5866,2.314,0.042
2374,Cu2O,5.618,2.315,0.042
2375,Cu2O,5.6497,2.315,0.042
2376,Cu2O,5.6818,2.315,0.042
2377,Cu2O,5.7143,2.315,0.042
2378,Cu2O,5.7471,2.315,0.041
2379,Cu2O,5.7803,2.315,0.041
2380,Cu2O,5.814,2.315,0.041
2381,Cu2O,5.848,2.315,0.04
2382,Cu2O,5.8824,2.314,0.04
2383,Cu2O,5.9172,2.314,0.04
2384,Cu2O,5.9524,2.314,0.04
2385,Cu2O,5.988,2.314,0.04
2386,Cu2O,6.0241,2.314,0.04
2387,Cu2O,6.0606,2.314,0.04
2388,Cu2O,6.0976,2.314,0.04
2389,Cu2O,6.135,2.314,0.04
2390,Cu2O,6.1728,2.313,0.041
2391,Cu2O,6.2112,2.313,0.041
2392,Cu2O,6.25,2.313,0.041
2393,Cu2O,6.2893,2.314,0.041
2394,Cu2O,6.3291,2.314,0.041
2395,Cu2O,6.3694,2.314,0.041
2396,Cu2O,6.4103,2.314,0.04
2397,Cu2O,6.4516,2.314,0.04
2398,Cu2O,6.4935,2.314,0.04
2399,Cu2O,6.5359,2.314,0.04
2400,Cu2O,6.5789,2.314,0.04
2401,Cu2O,6.6225,2.314,0.04
2402,Cu2O,6.6667,2.314,0.039
2403,Cu2O,6.7114,2.313,0.04
2404,Cu2O,6.7568,2.313,0.04
2405,Cu2O,6.8027,2.314,0.039
2406,Cu2O,6.8493,2.313,0.039
2407,Cu2O,6.8966,2.312,0.039
2408,Cu2O,6.9444,2.312,0.039
2409,Cu2O,6.993,2.312,0.04
2410,Cu2O,7.0423,2.312,0.039
2411,Cu2O,7.0922,2.312,0.04
2412,Cu2O,7.1429,2.313,0.04
2413,Cu2O,7.1942,2.313,0.04
2414,Cu2O,7.2464,2.313,0.039
2415,Cu2O,7.2993,2.314,0.039
2416,Cu2O,7.3529,2.314,0.037
2417,Cu2O,7.4074,2.313,0.037
2418,Cu2O,7.4627,2.313,0.036
2419,Cu2O,7.5188,2.312,0.036
2420,Cu2O,7.5758,2.312,0.035
2421,Cu2O,7.6336,2.312,0.034
2422,Cu2O,7.6923,2.311,0.034
2423,Cu2O,7.7519,2.31,0.033
2424,Cu2O,7.8125,2.309,0.033
2425,Cu2O,7.874,2.308,0.033
2426,Cu2O,7.9365,2.307,0.032
2427,Cu2O,8.0,2.307,0.032
2428,Cu2O,8.0645,2.306,0.032
2429,Cu2O,8.1301,2.305,0.031
2430,Cu2O,8.1967,2.303,0.031
2431,Cu2O,8.2645,2.302,0.031
2432,Cu2O,8.3333,2.301,0.031
2433,Cu2O,8.4034,2.299,0.031
2434,Cu2O,8.4746,2.298,0.031
2435,Cu2O,8.547,2.296,0.031
2436,Cu2O,8.6207,2.294,0.032
2437,Cu2O,8.6957,2.293,0.034
2438,Cu2O,8.7719,2.293,0.036
2439,Cu2O,8.8496,2.293,0.037
2440,Cu2O,8.9286,2.294,0.038
2441,Cu2O,9.009,2.296,0.037
2442,Cu2O,9.0909,2.296,0.035
2443,Cu2O,9.1743,2.295,0.033
2444,Cu2O,9.2593,2.294,0.032
2445,Cu2O,9.3458,2.292,0.031
2446,Cu2O,9.434,2.291,0.03
2447,Cu2O,9.5238,2.289,0.029
2448,Cu2O,9.6154,2.286,0.028
2449,Cu2O,9.7087,2.283,0.028
2450,Cu2O,9.8039,2.281,0.028
2451,Cu2O,9.901,2.278,0.029
2452,Cu2O,10.0,2.277,0.03
2453,Cu2O,10.101,2.276,0.029
2454,Cu2O,10.2041,2.273,0.027
2455,Cu2O,10.3093,2.27,0.027
2456,Cu2O,10.4167,2.268,0.027
2457,Cu2O,10.5263,2.265,0.027
2458,Cu2O,10.6383,2.261,0.026
2459,Cu2O,10.7527,2.257,0.026
2460,Cu2O,10.8696,2.254,0.026
2461,Cu2O,10.989,2.249,0.025
2462,Cu2O,11.1111,2.245,0.025
2463,Cu2O,11.236,2.24,0.026
2464,Cu2O,11.3636,2.235,0.026
2465,Cu2O,11.4943,2.229,0.027
2466,Cu2O,11.6279,2.224,0.029
2467,Cu2O,11.7647,2.218,0.029
2468,Cu2O,11.9048,2.212,0.03
2469,Cu2O,12.0482,2.205,0.03
2470,Cu2O,12.1951,2.198,0.031
2471,Cu2O,12.3457,2.19,0.032
2472,Cu2O,12.5,2.181,0.033
2473,Cu2O,12.6582,2.172,0.033
2474,Cu2O,12.8205,2.161,0.032
2475,Cu2O,12.987,2.148,0.03
2476,Cu2O,13.1579,2.131,0.027
2477,Cu2O,13.3333,2.109,0.027
2478,Cu2O,13.5135,2.083,0.028
2479,Cu2O,13.6986,2.051,0.031
2480,Cu2O,13.8889,2.013,0.04
2481,Cu2O,14.0845,1.971,0.054
2482,Cu2O,14.2857,1.925,0.073
2483,Cu2O,14.4928,1.871,0.087
2484,Cu2O,14.7059,1.779,0.098
2485,Cu2O,14.9254,1.616,0.147
2486,Cu2O,15.1515,1.392,0.333
2487,Cu2O,15.3846,1.25,0.736
2488,Cu2O,15.625,1.384,1.275
2489,Cu2O,15.873,1.856,1.694
2490,Cu2O,16.129,2.525,1.822
2491,Cu2O,16.3934,3.19,1.471
2492,Cu2O,16.6667,3.366,0.852
2493,Cu2O,16.9492,3.209,0.489
2494,Cu2O,17.2414,3.057,0.33
2495,Cu2O,17.5439,2.947,0.249
2496,Cu2O,17.8571,2.868,0.2
2497,Cu2O,18.1818,2.803,0.171
2498,Cu2O,18.5185,2.755,0.158
2499,Cu2O,18.8679,2.723,0.152
2500,Cu2O,19.2308,2.704,0.146
2501,Cu2O,19.6078,2.692,0.138
2502,Cu2O,20.0,2.681,0.125
2503,Cu2O,20.4082,2.672,0.113
2504,Cu2O,20.8333,2.663,0.098
2505,Cu2O,21.2766,2.65,0.083
2506,Cu2O,21.7391,2.635,0.073
2507,Cu2O,22.2222,2.622,0.069
2508,Cu2O,22.7273,2.615,0.068
2509,Cu2O,23.2558,2.615,0.064
2510,Cu2O,23.8095,2.616,0.054
2511,Cu2O,24.3902,2.613,0.039
2512,Cu2O,25.0,2.604,0.023
2513,Cu2O,25.641,2.59,0.012
2514,Cu2O,26.3158,2.578,0.005
2515,Cu2O,27.027,2.565,-0.001
2516,Cu2O,27.7778,2.553,-0.002
2517,Cu2O,28.5714,2.543,-0.004
2518,Cu2O,29.4118,2.535,-0.002
2519,Cu2O,30.303,2.531,-0.002
2520,Cu2O,31.25,2.528,-0.003
2521,Cu2O,32.2581,2.523,-0.006
2522,Cu2O,33.3333,2.519,-0.008
2523,Cu2O,34.4828,2.513,-0.012
2524,Cu2O,35.7143,2.506,-0.012
2525,Cu2O,37.037,2.502,-0.013
2526,Cu2O,38.4615,2.496,-0.012
2527,Cu2O,40.0,2.496,-0.013
2528,Cu2O,41.6667,2.49,-0.018
2529,Cu2O,43.4783,2.482,-0.019
2530,Cu2O,45.4545,2.481,-0.007
2531,Cu2O,47.619,2.483,-0.023
2532,Cu2O,50.0,2.467,-0.021
2533,Cu2O,52.6316,2.462,-0.018
2534,Cu2O,55.5556,2.456,-0.012
3882,CuSerg,0.40001,3.28960483851438,3.7401525150978494
3883,CuSerg,0.40201,3.3395612145012237,3.7201438780922778
3884,CuSerg,0.40401,3.389273626713731,3.7003581646849755
3885,CuSerg,0.40602,3.438498602448052,3.6810173897959237
3886,CuSerg,0.40802,3.48699214606332,3.662339929172827
3887,CuSerg,0.40998,3.534509822662262,3.6445386501279975
3888,CuSerg,0.41199,3.5808072402564317,3.6278190059245072
3889,CuSerg,0.414,3.625641026182361,3.6123770949992164
3890,CuSerg,0.41602,3.6687703650632755,3.5983976964025706
3891,CuSerg,0.41798,3.709959132473939,3.5860523042078154
3892,CuSerg,0.42,3.748978621423139,3.575497195246016
3893,CuSerg,0.42202,3.785610819175563,3.566871575175668
3894,CuSerg,0.42398,3.819652152220208,3.5602958561873486
3895,CuSerg,0.426,3.850917581025184,3.5558701239539166
3896,CuSerg,0.42801,3.8792448981248926,3.5536728500447623
3897,CuSerg,0.43002999999999997,3.904499067312064,3.5537598975598086
3898,CuSerg,0.43198000000000003,3.9265764404814236,3.5561638520524688
3899,CuSerg,0.43399,3.945408700671361,3.560893688747965
3900,CuSerg,0.43599,3.96096640012651,3.567934764401403
3901,CuSerg,0.43799,3.9732619840850725,3.577249102423494
3902,CuSerg,0.43999,3.982352208923184,3.588775926794814
3903,CuSerg,0.44199,3.9883398748147605,3.602432395398208
3904,CuSerg,0.44398000000000004,3.9913747990880446,3.618114486142438
3905,CuSerg,0.44598000000000004,3.9916539601816616,3.635697997573204
3906,CuSerg,0.44803,3.9894207474957013,3.655039636965681
3907,CuSerg,0.45003,3.984963262579177,3.675978180807065
3908,CuSerg,0.45203,3.978611632801496,3.698335703628255
3909,CuSerg,0.45403,3.970734318310927,3.7219188809398336
3910,CuSerg,0.45598,3.961733414323043,3.7465203807260066
3911,CuSerg,0.45799,3.9520389727831255,3.7719203652996187
3912,CuSerg,0.46,3.9421023917245397,3.797888130147618
3913,CuSerg,0.46201,3.9323889496968363,3.824183906968452
3914,CuSerg,0.46403,3.9233695977063463,3.850560853143092
3915,CuSerg,0.46598,3.9155121606395342,3.876767239666041
3916,CuSerg,0.468,3.909272139806007,3.9025488363027927
3917,CuSerg,0.47001,3.9050833427334033,3.927651479640823
3918,CuSerg,0.47202999999999995,3.9033485917176023,3.9518237993094303
3919,CuSerg,0.47398,3.9044307773600613,3.974820070904749
3920,CuSerg,0.47599,3.9086445275081707,3.996403160714319
3921,CuSerg,0.47799,3.9162487558151007,4.016347526342733
3922,CuSerg,0.48,3.9274403369203656,4.0344422379818585
3923,CuSerg,0.482,3.94234912592636,4.050493986688187
3924,CuSerg,0.48399000000000003,3.961034498005921,4.064330048083801
3925,CuSerg,0.48599000000000003,3.9834835311279932,4.075801171942761
3926,CuSerg,0.48798,4.009610894844087,4.084784369842569
3927,CuSerg,0.49002999999999997,4.039260446073923,4.091185574248339
3928,CuSerg,0.49201999999999996,4.072208473953339,4.094942142906671
3929,CuSerg,0.49401,4.1081684838201955,4.096025182135549
3930,CuSerg,0.496,4.146797367381662,4.094441661467748
3931,CuSerg,0.498,4.187702772583417,4.090236290247456
3932,CuSerg,0.5,4.230451462168342,4.083493124434929
3933,CuSerg,0.502,4.274578433283956,4.074336869351166
3934,CuSerg,0.504,4.319596560506545,4.062933841727909
3935,CuSerg,0.50601,4.365006520166692,4.0494925525488625
3936,CuSerg,0.50802,4.41030675429009,4.034263871056604
